rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,808959,Munetaka Murakami,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,3,Bailey Ober,641927,R,68.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.8,54.6,54.1,96.6,80.0,18.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,26,1,"Last 7 games: 2/26, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 21.6 HR allowed",lift-pull EV profile; pitcher allows elevated contact,19.2,57.1,93.9,104.4706,0.465,0.26,0.35,74.8,51.3,44.6,38.8,30.0,0.271,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
2,695657,Colson Montgomery,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,5,Bailey Ober,641927,R,61.5,Tier 3,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",52.7,54.6,54.1,86.4,80.0,71.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.31,42.75,88.98,101.8632,0.4429,0.2262,0.3172,76.72,70.16,48.81,33.16,28.0,0.2466,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
3,695578,James Wood,WSH,LAD,2026-09-07T02:10:00Z,Scheduled,1,Justin Wrobleski,680736,L,60.0,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",81.4,47.2,27.6,88.7,50.0,14.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 7.8% barrel, 15.8 HR allowed",EV profile; pitcher fly-ball pressure modest,19.55,57.42,94.93,106.1949,0.5539,0.2834,0.4002,76.63,67.06,31.8,25.5,30.3,0.2519,7.79,44.86,90.6,0.4213,0.1598,28.63,,,UNIQLO Field at Dodger Stadium,
4,678246,Miguel Vargas,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,2,Bailey Ober,641927,R,59.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",52.7,54.6,54.1,100.0,50.0,43.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 21.6 HR allowed",fly-ball profile; pitcher allows elevated contact,12.48,43.93,90.33,100.3853,0.4812,0.2221,0.3659,72.91,33.51,44.56,35.31,25.8,0.2146,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
5,643217,Andrew Benintendi,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,4,Bailey Ober,641927,R,53.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",37.1,54.6,54.1,94.9,80.0,0.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,21,0,"Last 7 games: 1/21, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.42,42.15,88.7,98.7774,0.4111,0.1711,0.313,69.61,4.57,49.61,32.06,15.8,0.1798,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
6,660271,Shohei Ohtani,LAD,WSH,2026-09-07T02:10:00Z,Scheduled,1,Andrew Alvarez,674841,L,52.5,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",78.6,22.3,27.6,88.7,50.0,3.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","same-side matchup; pitcher baseline 4.8% barrel, 3.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.11,53.8,93.71,104.4581,0.5853,0.3001,0.4082,74.96,52.94,46.63,31.78,37.5,0.2742,4.82,39.82,88.83,0.3507,0.1116,18.18,,,UNIQLO Field at Dodger Stadium,
7,680777,Ryan Jeffers,MIN,CWS,2026-09-06T22:20:00Z,Pre-Game,3,Bryan Hudson,663542,L,50.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",40.5,19.3,54.1,96.6,78.0,79.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 4.6% barrel, 3.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.87,41.05,88.95,100.8923,0.4357,0.1857,0.3461,73.14,36.89,37.95,27.75,12.5,0.2038,4.64,36.74,88.56,0.3245,0.0976,26.15,L To R,76,Rate Field,
8,605137,Josh Bell,MIN,CWS,2026-09-06T22:20:00Z,Pre-Game,4,Bryan Hudson,663542,L,50.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",44.3,19.0,54.1,94.9,75.0,58.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,1,Contact streak: 10/26 over last 7 games,"switch hitter; pitcher baseline 4.6% barrel, 3.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.21,43.57,90.05,101.0499,0.4535,0.1989,0.3408,72.33,28.71,41.57,26.99,19.2,0.1716,4.64,36.74,88.56,0.3245,0.0976,26.15,L To R,76,Rate Field,
9,665019,Kody Clemens,MIN,CWS,2026-09-06T22:20:00Z,Pre-Game,5,Bryan Hudson,663542,L,49.8,Longshot,Watch List,Strong Barrel,54.1,19.3,54.1,86.4,50.0,51.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 4.6% barrel, 3.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,12.0,47.53,92.2,101.5942,0.4671,0.2153,0.338,72.06,14.63,46.71,33.32,22.5,0.2259,4.64,36.74,88.56,0.3245,0.0976,26.15,L To R,76,Rate Field,
10,803011,Sam Antonacci,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,1,Bailey Ober,641927,R,48.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",18.4,54.6,54.1,93.2,80.0,13.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.2,32.6,87.3,97.489,0.387,0.117,0.342,69.8,8.0,32.8,22.0,8.0,0.12,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
11,695734,Daylen Lile,WSH,LAD,2026-09-07T02:10:00Z,Scheduled,4,Justin Wrobleski,680736,L,47.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",35.4,47.2,27.6,90.4,50.0,66.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.8% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.86,38.84,88.83,99.0687,0.4455,0.1719,0.3347,70.71,9.85,41.15,33.25,16.7,0.1885,7.79,44.86,90.6,0.4213,0.1598,28.63,,,UNIQLO Field at Dodger Stadium,
12,686611,Dylan Crews,WSH,LAD,2026-09-07T02:10:00Z,Scheduled,5,Justin Wrobleski,680736,L,47.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.0,47.2,27.6,81.9,78.0,14.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.24,41.64,90.12,100.9631,0.3993,0.1657,0.307,73.9,38.28,34.22,26.93,10.0,0.1447,7.79,44.86,90.6,0.4213,0.1598,28.63,,,UNIQLO Field at Dodger Stadium,
13,691781,Brady House,WSH,LAD,2026-09-07T02:10:00Z,Scheduled,7,Justin Wrobleski,680736,L,47.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",40.0,47.2,27.6,59.8,78.0,59.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,1,Contact streak: 9/23 over last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.5,47.28,89.8,101.662,0.4253,0.1616,0.3204,73.17,30.18,31.98,26.91,8.2,0.1398,7.79,44.86,90.6,0.4213,0.1598,28.63,,,UNIQLO Field at Dodger Stadium,
14,695731,Braden Montgomery,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,6,Bailey Ober,641927,R,46.9,Longshot,Watch List,Platoon Edge,23.8,52.7,54.1,76.2,75.0,18.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","switch hitter; pitcher baseline 10.4% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.3,40.6,88.7,99.9609,0.396,0.14,0.329,69.7,8.3,38.6,19.3,6.0,0.135,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
15,668904,Royce Lewis,MIN,CWS,2026-09-06T22:20:00Z,Pre-Game,6,Bryan Hudson,663542,L,46.2,Longshot,Watch List,"Strong Barrel, Platoon Edge",41.8,19.3,54.1,76.2,78.0,39.2,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 4.6% barrel, 3.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.59,40.72,89.8,100.6622,0.4077,0.1663,0.3103,74.72,50.24,46.16,30.92,13.7,0.1629,4.64,36.74,88.56,0.3245,0.0976,26.15,L To R,76,Rate Field,
16,694673,Abimelec Ortiz,WSH,LAD,2026-09-07T02:10:00Z,Scheduled,2,Justin Wrobleski,680736,L,46.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",38.6,47.2,27.6,95.5,50.0,1.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","same-side matchup; pitcher baseline 7.8% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.2,37.0,89.5,99.5696,0.417,0.187,0.294,75.4,57.8,42.5,31.5,5.0,0.182,7.79,44.86,90.6,0.4213,0.1598,28.63,,,UNIQLO Field at Dodger Stadium,
17,682928,CJ Abrams,WSH,LAD,2026-09-07T02:10:00Z,Scheduled,3,Justin Wrobleski,680736,L,45.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",38.3,47.2,27.6,92.1,50.0,0.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,0,"Last 7 games: 3/28, 0 HR","same-side matchup; pitcher baseline 7.8% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.14,40.46,89.33,99.8263,0.4171,0.1735,0.3223,72.82,27.54,43.87,29.01,26.0,0.2145,7.79,44.86,90.6,0.4213,0.1598,28.63,,,UNIQLO Field at Dodger Stadium,
18,691019,Kyle Teel,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,9,Bailey Ober,641927,R,45.3,Longshot,Watch List,"Strong Barrel, Platoon Edge",31.2,54.6,54.1,44.8,80.0,5.7,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.09,43.62,84.8,99.6656,0.3719,0.1447,0.3041,71.57,24.69,39.07,28.68,3.8,0.1254,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
19,669257,Will Smith,LAD,WSH,2026-09-07T02:10:00Z,Scheduled,5,Andrew Alvarez,674841,L,44.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",50.2,22.3,27.6,81.9,78.0,0.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","platoon edge; pitcher baseline 4.8% barrel, 3.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.27,41.85,90.18,100.2324,0.4876,0.2193,0.3773,69.91,7.01,31.16,38.31,9.3,0.1506,4.82,39.82,88.83,0.3507,0.1116,18.18,,,UNIQLO Field at Dodger Stadium,
20,606192,Teoscar Hernandez,LAD,WSH,2026-09-07T02:10:00Z,Scheduled,6,Andrew Alvarez,674841,L,44.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.3,22.3,27.6,71.7,78.0,55.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,1,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 4.8% barrel, 3.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.66,45.12,90.13,101.464,0.4315,0.1808,0.3233,72.55,25.97,35.13,28.96,15.9,0.165,4.82,39.82,88.83,0.3507,0.1116,18.18,,,UNIQLO Field at Dodger Stadium,
21,671976,Tristan Peters,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,7,Bailey Ober,641927,R,43.9,Longshot,Watch List,Platoon Edge,15.5,54.6,54.1,64.3,80.0,27.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,0,"Last 7 games: 6/20, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.06,35.73,87.29,98.1625,0.3348,0.1113,0.2677,69.3,5.53,41.7,20.3,8.4,0.1309,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
22,518692,Freddie Freeman,LAD,WSH,2026-09-07T02:10:00Z,Scheduled,4,Andrew Alvarez,674841,L,42.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",41.0,22.3,27.6,90.4,50.0,50.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,1,Contact streak: 7/21 over last 7 games,"same-side matchup; pitcher baseline 4.8% barrel, 3.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.93,42.9,90.06,100.2939,0.4775,0.1888,0.3668,70.08,8.19,36.05,27.63,18.4,0.1734,4.82,39.82,88.83,0.3507,0.1116,18.18,,,UNIQLO Field at Dodger Stadium,
