rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,699024,Leo Bernal,STL,COL,2026-09-05T00:40:00Z,Warmup,5,Ryan Feltner,663372,R,66.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",68.2,42.3,83.7,86.4,75.0,46.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,3,4,13,1,"Last 3 games: 4/13, 1 HR","switch hitter; pitcher baseline 8.6% barrel, 14.5 HR allowed",EV profile; pitcher fly-ball pressure modest,10.0,70.0,97.6,103.9318,0.57,0.234,0.385,74.4,50.0,30.0,40.0,1.0,0.23,8.58,36.75,88.04,0.4407,0.1877,28.74,Out To LF,88,Coors Field,
2,695491,Joshua Báez,STL,COL,2026-09-05T00:40:00Z,Warmup,6,Ryan Feltner,663372,R,64.1,Tier 3,Watch List,"Strong Barrel, Good Environment",68.0,43.9,83.7,76.2,50.0,68.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 14.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.4,48.7,92.5,101.9335,0.465,0.266,0.311,77.8,75.0,43.6,38.5,6.0,0.355,8.58,36.75,88.04,0.4407,0.1877,28.74,Out To LF,88,Coors Field,
3,682987,Spencer Jones,NYY,SD,2026-09-05T01:40:00Z,Pre-Game,4,Walker Buehler,621111,R,63.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",69.5,41.9,45.1,94.9,80.0,68.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 18.5 HR allowed",EV profile; pitcher fly-ball pressure modest,15.9,57.1,94.4,104.3596,0.452,0.214,0.33,77.3,73.1,32.7,35.4,9.0,0.202,8.59,38.08,88.88,0.4115,0.1603,23.16,L To R,72,Petco Park,
4,691023,Jordan Walker,STL,COL,2026-09-05T00:40:00Z,Warmup,4,Ryan Feltner,663372,R,62.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",56.1,43.9,83.7,94.9,50.0,55.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,1,Contact streak: 11/30 over last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 14.5 HR allowed",EV profile; pitcher fly-ball pressure modest,12.72,49.23,92.51,104.6059,0.4477,0.1935,0.3298,78.87,83.05,37.82,24.12,21.4,0.1792,8.58,36.75,88.04,0.4407,0.1877,28.74,Out To LF,88,Coors Field,
5,676475,Alec Burleson,STL,COL,2026-09-05T00:40:00Z,Warmup,3,Ryan Feltner,663372,R,61.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",52.1,43.9,83.7,96.6,80.0,0.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,0,"Last 7 games: 3/26, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 14.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.41,47.76,91.77,101.9502,0.5053,0.2193,0.3653,73.21,34.14,43.82,27.4,20.1,0.1795,8.58,36.75,88.04,0.4407,0.1877,28.74,Out To LF,88,Coors Field,
6,691002,Yohandy Morales,WSH,LAD,2026-09-05T02:10:00Z,Pre-Game,6,Blake Snell,605483,L,60.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",93.0,0.4,61.6,76.2,78.0,63.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,2,4,8,1,Contact streak: 4/8 over last 2 games,"platoon edge; pitcher baseline 2.9% barrel, 0.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,40.0,80.0,97.6,105.3212,0.779,0.454,0.461,73.0,18.2,60.0,40.0,1.0,0.5,2.93,17.2,82.63,0.2394,0.0567,20.56,Out To CF,72,UNIQLO Field at Dodger Stadium,
7,700250,Ben Rice,NYY,SD,2026-09-05T01:40:00Z,Pre-Game,1,Walker Buehler,621111,R,59.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",63.8,41.9,45.1,93.2,80.0,25.5,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,31,0,"Last 7 games: 9/31, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 18.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.7,50.85,92.32,102.5334,0.5208,0.252,0.3777,72.91,28.15,45.38,30.74,32.3,0.2587,8.59,38.08,88.88,0.4115,0.1603,23.16,L To R,72,Petco Park,
8,696100,Hunter Goodman,COL,STL,2026-09-05T00:40:00Z,Warmup,3,Andre Pallante,669467,R,57.1,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",58.5,26.5,83.7,96.6,50.0,18.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 5.7% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.14,46.13,90.52,102.7763,0.4623,0.2308,0.3234,74.93,49.16,48.14,32.41,34.5,0.2721,5.69,36.12,87.94,0.3824,0.13,17.75,Out To LF,88,Coors Field,
9,666160,Mickey Moniak,COL,STL,2026-09-05T00:40:00Z,Warmup,2,Andre Pallante,669467,R,56.0,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",46.5,26.5,83.7,100.0,80.0,9.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","platoon edge; pitcher baseline 5.7% barrel, 13.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,10.93,42.5,89.56,100.2505,0.4249,0.1958,0.2992,74.19,43.39,45.89,37.75,21.9,0.2487,5.69,36.12,87.94,0.3824,0.13,17.75,Out To LF,88,Coors Field,
10,671277,Luis García Jr.,NYY,SD,2026-09-05T01:40:00Z,Pre-Game,3,Walker Buehler,621111,R,55.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.9,41.9,45.1,96.6,80.0,19.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.17,46.29,91.25,101.9582,0.491,0.2072,0.3474,73.66,39.41,41.78,22.4,24.4,0.2314,8.59,38.08,88.88,0.4115,0.1603,23.16,L To R,72,Petco Park,
