rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,691181,Emmanuel Rodriguez,MIN,NYY,2026-09-14T23:40:00Z,Scheduled,7,Will Warren,701542,R,66.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",100.0,50.0,27.1,59.8,80.0,37.8,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,2,2,8,1,"Last 2 games: 2/8, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 21.3 HR allowed",EV profile; pitcher fly-ball pressure modest,50.0,75.0,101.3,106.4608,1.437,0.919,0.812,80.1,100.0,25.0,75.0,1.0,0.75,8.8,44.53,90.86,0.4204,0.1638,24.31,,,Target Field,
2,701538,Jackson Merrill,SD,COL,2026-09-15T00:40:00Z,Scheduled,5,Tomoyuki Sugano,608372,R,64.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge, Hot Hitter/Streak",54.6,69.3,38.7,81.9,80.0,100.0,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 12.0% barrel, 30.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.86,46.68,90.82,101.1019,0.49,0.2249,0.3463,72.95,27.75,36.86,30.55,22.3,0.1916,12.01,42.11,90.7,0.5415,0.2385,29.65,,,Coors Field,
3,808959,Munetaka Murakami,CWS,CLE,2026-09-14T22:40:00Z,Scheduled,4,Gavin Williams,668909,R,63.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",75.0,55.7,27.6,90.4,80.0,19.1,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,1,"Last 7 games: 3/24, 1 HR","platoon edge; pitcher baseline 10.8% barrel, 25.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.8,56.8,93.8,104.3534,0.454,0.252,0.343,74.8,50.3,45.7,38.5,31.0,0.265,10.82,46.47,90.26,0.4022,0.1775,26.07,,,Progressive Field,
4,592450,Aaron Judge,NYY,MIN,2026-09-14T23:40:00Z,Scheduled,3,Dean Kremer,665152,R,62.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",89.7,46.2,27.1,92.1,50.0,6.0,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 17.8 HR allowed",lift-pull EV profile; pitcher allows elevated contact,21.79,57.78,94.49,105.6167,0.6219,0.3439,0.4226,76.34,66.44,40.99,34.27,27.8,0.294,9.05,35.52,87.82,0.4412,0.1966,30.92,,,Target Field,
5,665487,Fernando Tatis,SD,COL,2026-09-15T00:40:00Z,Scheduled,1,Tomoyuki Sugano,608372,R,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",57.0,69.3,38.7,88.7,50.0,81.7,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.0% barrel, 30.2 HR allowed",EV profile; pitcher fly-ball pressure modest,12.12,53.27,93.02,104.455,0.4894,0.2002,0.3742,75.65,58.19,35.08,21.8,22.2,0.1731,12.01,42.11,90.7,0.5415,0.2385,29.65,,,Coors Field,
6,665742,Juan Soto,NYM,BAL,2026-09-14T23:10:00Z,Scheduled,2,Brandon Young,687064,R,60.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",70.8,42.8,24.8,95.5,80.0,57.4,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 17.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.4,50.26,92.82,103.0563,0.5905,0.2979,0.4206,72.76,32.33,39.81,32.05,30.4,0.2592,7.75,40.03,89.26,0.4173,0.1651,26.94,,,Citi Field,
7,700250,Ben Rice,NYY,MIN,2026-09-14T23:40:00Z,Scheduled,1,Dean Kremer,665152,R,59.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",63.9,46.2,27.1,88.7,80.0,68.7,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 17.8 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.7,50.43,92.39,102.4481,0.5229,0.2527,0.3798,72.91,27.8,44.75,30.81,33.7,0.258,9.05,35.52,87.82,0.4412,0.1966,30.92,,,Target Field,
8,624413,Pete Alonso,BAL,NYM,2026-09-14T23:10:00Z,Scheduled,2,Jonah Tong,804636,R,58.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",72.3,40.8,24.8,95.5,50.0,70.6,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.0% barrel, 2.3 HR allowed",EV profile; pitcher allows elevated contact,15.47,55.8,93.85,104.2217,0.5517,0.2717,0.3923,74.78,48.58,36.78,30.32,35.9,0.238,8.98,34.64,90.14,0.3786,0.1561,36.04,,,Citi Field,
9,592518,Manny Machado,SD,COL,2026-09-15T00:40:00Z,Scheduled,3,Tomoyuki Sugano,608372,R,58.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",49.0,69.3,38.7,92.1,50.0,53.3,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.0% barrel, 30.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.87,46.81,91.15,101.9163,0.4481,0.1925,0.3407,74.64,44.79,39.17,28.08,26.3,0.1857,12.01,42.11,90.7,0.5415,0.2385,29.65,,,Coors Field,
10,682987,Spencer Jones,NYY,MIN,2026-09-14T23:40:00Z,Scheduled,5,Dean Kremer,665152,R,58.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",67.0,46.2,27.1,81.9,80.0,45.0,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,0,Contact streak: 10/23 over last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 17.8 HR allowed",EV profile; pitcher allows elevated contact,15.4,56.6,94.4,104.6962,0.447,0.199,0.334,77.2,72.3,34.6,33.8,9.0,0.19,9.05,35.52,87.82,0.4412,0.1966,30.92,,,Target Field,
