rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,621566,Matt Olson,ATL,COL,2026-08-28T23:15:00Z,In Progress,3,Tomoyuki Sugano,608372,R,72.5,Tier 2,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",67.9,72.1,68.9,96.6,80.0,33.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 12.6% barrel, 28.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.38,51.2,92.88,103.8823,0.5144,0.265,0.3621,74.53,47.75,38.14,33.2,34.6,0.2568,12.64,42.46,90.63,0.5534,0.2469,29.86,Out To RF,84,Truist Park,
2,805811,Bryce Eldridge,SF,AZ,2026-08-29T02:15:00Z,Warmup,3,Kohl Drake,684442,L,69.5,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",68.8,84.9,40.3,96.6,50.0,46.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","same-side matchup; pitcher baseline 16.4% barrel, 3.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.55,57.11,93.43,103.2568,0.4757,0.2456,0.3552,73.0,28.85,39.04,37.4,9.8,0.1504,16.4,49.1,91.6,0.625,0.308,40.0,Varies,61,Oracle Park,
3,686948,Drake Baldwin,ATL,COL,2026-08-28T23:15:00Z,In Progress,1,Tomoyuki Sugano,608372,R,69.4,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",57.4,72.1,68.9,93.2,80.0,50.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 12.6% barrel, 28.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.61,51.35,91.77,102.3936,0.4961,0.2199,0.367,75.3,56.16,32.71,24.97,21.1,0.1859,12.64,42.46,90.63,0.5534,0.2469,29.86,Out To RF,84,Truist Park,
4,646240,Rafael Devers,SF,AZ,2026-08-29T02:15:00Z,Warmup,2,Kohl Drake,684442,L,68.4,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Hot Hitter/Streak",58.2,84.9,40.3,100.0,50.0,85.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 16.4% barrel, 3.0 HR allowed",EV profile; pitcher allows elevated contact,12.5,52.11,92.94,103.0585,0.4604,0.2252,0.3404,71.81,20.37,33.7,33.74,30.8,0.2347,16.4,49.1,91.6,0.625,0.308,40.0,Varies,61,Oracle Park,
5,808959,Munetaka Murakami,CWS,MIN,2026-08-29T00:10:00Z,In Progress,2,Dean Kremer,665152,R,67.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.0,42.4,63.1,100.0,80.0,0.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 16.4 HR allowed",lift-pull EV profile; pitcher allows elevated contact,19.7,58.2,94.0,104.5222,0.491,0.277,0.361,74.8,50.7,43.3,38.0,29.0,0.284,7.79,35.38,87.61,0.4326,0.1953,33.16,Out To LF,78,Target Field,
6,813841,Jonah Cox,SF,AZ,2026-08-29T02:15:00Z,Warmup,1,Kohl Drake,684442,L,66.8,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",52.9,84.9,40.3,93.2,78.0,58.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 16.4% barrel, 3.0 HR allowed",fly-ball profile; pitcher allows elevated contact,13.8,44.8,91.7,100.6297,0.41,0.2,0.277,69.3,8.0,13.8,44.8,3.0,0.259,16.4,49.1,91.6,0.625,0.308,40.0,Varies,61,Oracle Park,
7,671739,Michael Harris II,ATL,COL,2026-08-28T23:15:00Z,In Progress,5,Tomoyuki Sugano,608372,R,65.6,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Platoon Edge, Hot Hitter/Streak",45.8,72.1,68.9,86.4,80.0,70.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.6% barrel, 28.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.29,46.76,90.34,103.2119,0.466,0.183,0.3346,74.79,47.26,36.78,22.21,20.7,0.1845,12.64,42.46,90.63,0.5534,0.2469,29.86,Out To RF,84,Truist Park,
8,624413,Pete Alonso,BAL,ATH,2026-08-29T01:40:00Z,In Progress,2,Jacob Lopez,682052,L,65.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",73.3,22.9,65.9,100.0,78.0,91.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.0% barrel, 15.0 HR allowed",EV profile; pitcher allows elevated contact,15.54,56.08,93.99,104.2993,0.5566,0.2759,0.3909,74.78,48.93,35.94,30.88,33.8,0.2422,5.97,30.54,85.15,0.3424,0.1352,33.39,Out To LF,74,Sutter Health Park,
9,660670,Ronald Acuña Jr.,ATL,COL,2026-08-28T23:15:00Z,In Progress,4,Tomoyuki Sugano,608372,R,64.7,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",56.8,72.1,68.9,94.9,50.0,9.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 12.6% barrel, 28.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.18,47.32,90.81,102.9224,0.4853,0.2307,0.369,76.05,63.02,36.3,27.67,15.4,0.1895,12.64,42.46,90.63,0.5534,0.2469,29.86,Out To RF,84,Truist Park,
10,656941,Kyle Schwarber,PHI,LAA,2026-08-29T01:38:00Z,In Progress,1,Reid Detmers,672282,L,64.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",77.6,40.2,55.2,93.2,50.0,67.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.1% barrel, 13.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.77,53.58,93.18,104.3402,0.5257,0.2847,0.3772,77.16,75.49,54.77,33.53,44.8,0.2985,8.13,39.93,90.1,0.3637,0.1432,28.27,R To L,89,Angel Stadium,
