rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,CIN,2026-07-09T23:10:00Z,Warmup,2,Brady Singer,663903,R,77.2,Tier 2,Best Overall,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",83.0,58.6,78.8,100.0,80.0,54.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 19.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.1,55.68,93.74,104.8092,0.5481,0.3001,0.3891,77.16,76.12,55.33,34.65,39.2,0.3216,10.73,40.77,90.86,0.4608,0.1982,28.96,Out To LF,85,Great American Ball Park,
2,701538,Jackson Merrill,SD,AZ,2026-07-10T01:40:00Z,Pre-Game,2,Merrill Kelly,518876,R,65.0,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",43.7,71.9,58.6,100.0,80.0,66.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.55,44.16,89.56,100.2726,0.434,0.1885,0.3162,73.05,27.81,38.75,27.89,11.8,0.1538,12.94,43.78,90.13,0.5451,0.2517,27.13,Out To CF,74,Petco Park,
3,547180,Bryce Harper,PHI,CIN,2026-07-09T23:10:00Z,Warmup,3,Brady Singer,663903,R,64.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",54.9,58.6,78.8,96.6,80.0,0.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.02,46.59,90.46,102.1397,0.5186,0.2401,0.3897,74.34,47.24,38.26,27.38,22.1,0.2393,10.73,40.77,90.86,0.4608,0.1982,28.96,Out To LF,85,Great American Ball Park,
4,545361,Mike Trout,LAA,TEX,2026-07-10T00:05:00Z,Pre-Game,2,Nathan Eovaldi,543135,R,63.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",74.2,39.3,42.1,100.0,50.0,85.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,19.58,50.35,91.11,103.7172,0.5398,0.2873,0.3972,74.77,48.99,39.31,34.08,20.4,0.2343,7.89,38.99,88.6,0.3958,0.1586,25.18,None,74,Globe Life Field,
5,592518,Manny Machado,SD,AZ,2026-07-10T01:40:00Z,Pre-Game,4,Merrill Kelly,518876,R,62.2,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",48.8,71.9,58.6,94.9,50.0,44.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.29,45.76,90.87,101.6962,0.4362,0.1974,0.3284,74.64,44.4,39.52,28.22,20.7,0.2067,12.94,43.78,90.13,0.5451,0.2517,27.13,Out To CF,74,Petco Park,
6,701398,Sal Stewart,CIN,PHI,2026-07-09T23:10:00Z,Warmup,2,Jesús Luzardo,666200,L,62.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.9,19.4,78.8,100.0,78.0,74.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.9% barrel, 11.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.87,44.52,92.18,101.7902,0.5196,0.2572,0.3665,72.38,28.12,38.71,31.81,14.8,0.2445,5.86,32.13,87.03,0.3284,0.1088,21.66,Out To LF,85,Great American Ball Park,
7,646240,Rafael Devers,SF,COL,2026-07-10T01:45:00Z,Pre-Game,4,Ryan Feltner,663372,R,61.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.0,39.7,56.3,94.9,80.0,79.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 7.5 HR allowed",EV profile; pitcher fly-ball pressure modest,13.06,51.97,92.38,102.987,0.4695,0.2343,0.339,71.67,20.78,33.42,33.11,23.1,0.2277,7.46,38.85,88.74,0.4274,0.1772,27.34,Out To RF,66,Oracle Park,
8,596146,Max Kepler,AZ,SD,2026-07-10T01:40:00Z,Pre-Game,5,Griffin Canning,656288,R,61.7,Tier 3,Watch List,"Strong Barrel, Platoon Edge",58.6,51.0,58.6,86.4,80.0,39.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,1,"Last 7 games: 5/19, 1 HR","platoon edge; pitcher baseline 9.6% barrel, 8.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.49,46.73,89.61,100.265,0.5123,0.2756,0.3362,71.23,16.91,36.18,36.51,6.1,0.1771,9.64,48.01,90.92,0.4161,0.1694,23.96,Out To CF,74,Petco Park,
9,665487,Fernando Tatis Jr.,SD,AZ,2026-07-10T01:40:00Z,Pre-Game,1,Merrill Kelly,518876,R,61.6,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",49.9,71.9,58.6,93.2,50.0,30.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 12.9% barrel, 20.2 HR allowed",EV profile; pitcher fly-ball pressure modest,11.0,52.43,92.18,104.258,0.4474,0.1666,0.356,75.26,56.49,32.28,21.31,11.0,0.1241,12.94,43.78,90.13,0.5451,0.2517,27.13,Out To CF,74,Petco Park,
10,669016,Brandon Marsh,PHI,CIN,2026-07-09T23:10:00Z,Warmup,4,Brady Singer,663903,R,61.2,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",41.2,58.6,78.8,94.9,80.0,24.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.31,46.12,90.19,100.4288,0.4411,0.1711,0.3265,71.47,14.84,37.28,26.17,13.8,0.1868,10.73,40.77,90.86,0.4608,0.1982,28.96,Out To LF,85,Great American Ball Park,
11,805811,Bryce Eldridge,SF,COL,2026-07-10T01:45:00Z,Pre-Game,6,Ryan Feltner,663372,R,61.2,Tier 3,Watch List,"Strong Barrel, Platoon Edge",71.8,39.7,56.3,76.2,80.0,33.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 7.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.39,58.44,93.08,103.5513,0.5002,0.261,0.365,73.04,27.6,41.28,36.14,4.9,0.1532,7.46,38.85,88.74,0.4274,0.1772,27.34,Out To RF,66,Oracle Park,
12,682998,Corbin Carroll,AZ,SD,2026-07-10T01:40:00Z,Pre-Game,3,Griffin Canning,656288,R,59.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.0,51.0,58.6,96.6,80.0,0.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.4,47.38,91.54,102.4378,0.4737,0.2166,0.3552,75.33,55.75,46.18,28.85,18.4,0.2498,9.64,48.01,90.92,0.4161,0.1694,23.96,Out To CF,74,Petco Park,
13,606466,Ketel Marte,AZ,SD,2026-07-10T01:40:00Z,Pre-Game,1,Griffin Canning,656288,R,59.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",54.4,50.2,58.6,93.2,75.0,24.9,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","switch hitter; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.96,46.23,91.22,103.0518,0.5179,0.2217,0.3788,74.6,45.64,50.24,27.29,20.3,0.2214,9.64,48.01,90.92,0.4161,0.1694,23.96,Out To CF,74,Petco Park,
14,696100,Hunter Goodman,COL,SF,2026-07-10T01:45:00Z,Pre-Game,4,Carson Whisenhunt,687931,L,58.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",60.1,31.9,56.3,94.9,78.0,48.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,1,"Last 7 games: 7/22, 1 HR","platoon edge; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.7,45.92,91.01,102.8022,0.4688,0.2329,0.3275,75.03,50.89,48.77,31.71,28.2,0.2777,3.75,40.34,89.74,0.4295,0.1486,34.1,Out To RF,66,Oracle Park,
15,671218,Heliot Ramos,SF,COL,2026-07-10T01:45:00Z,Pre-Game,1,Ryan Feltner,663372,R,58.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",56.0,39.7,56.3,93.2,50.0,92.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 7.5 HR allowed",EV profile; pitcher fly-ball pressure modest,14.12,49.43,92.22,103.472,0.4758,0.2051,0.341,72.67,29.16,36.25,24.07,11.9,0.1902,7.46,38.85,88.74,0.4274,0.1772,27.34,Out To RF,66,Oracle Park,
16,691023,Jordan Walker,STL,MIL,2026-07-09T23:45:00Z,Pre-Game,4,Logan Henderson,701656,R,58.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",61.0,32.1,61.6,94.9,50.0,70.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.1% barrel, 2.3 HR allowed",EV profile; pitcher allows elevated contact,13.28,51.26,93.63,105.274,0.4722,0.2089,0.3452,78.8,83.33,37.89,24.26,16.5,0.1953,9.09,30.56,87.75,0.3562,0.1337,33.66,Out To RF,79,Busch Stadium,
17,657757,Gavin Sheets,SD,AZ,2026-07-10T01:40:00Z,Pre-Game,5,Merrill Kelly,518876,R,58.3,Longshot,Watch List,"Pitcher Vulnerable, Platoon Edge",37.7,71.9,58.6,86.4,80.0,10.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.41,42.93,88.92,100.0127,0.425,0.1732,0.3337,74.45,47.84,39.89,22.86,15.5,0.2008,12.94,43.78,90.13,0.5451,0.2517,27.13,Out To CF,74,Petco Park,
18,682829,Elly De La Cruz,CIN,PHI,2026-07-09T23:10:00Z,Warmup,1,Jesús Luzardo,666200,L,57.6,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",58.5,18.2,78.8,93.2,75.0,46.5,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","switch hitter; pitcher baseline 5.9% barrel, 11.1 HR allowed",EV profile; pitcher fly-ball pressure modest,13.8,50.22,93.38,104.5148,0.466,0.2017,0.3507,74.78,48.22,33.56,26.71,16.4,0.2026,5.86,32.13,87.03,0.3284,0.1088,21.66,Out To LF,85,Great American Ball Park,
19,687282,Gabriel Rincones Jr.,PHI,CIN,2026-07-09T23:10:00Z,Warmup,7,Brady Singer,663903,R,57.5,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge",38.0,58.6,78.8,64.3,80.0,57.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,1,Contact streak: 8/21 over last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.0,40.5,90.8,102.1376,0.315,0.141,0.223,76.3,63.3,26.2,28.6,2.0,0.157,10.73,40.77,90.86,0.4608,0.1982,28.96,Out To LF,85,Great American Ball Park,
