rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,805811,Bryce Eldridge,SF,LAA,2026-07-25T02:15:00Z,Pre-Game,3,Grayson Rodriguez,680570,R,72.3,Tier 2,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.0,68.4,55.8,96.6,80.0,53.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.0% barrel, 5.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.46,59.14,93.5,103.6217,0.4974,0.2617,0.365,73.11,29.49,41.35,37.54,7.0,0.1644,10.0,55.0,92.3,0.543,0.23,28.3,Out To CF,63,Oracle Park,
2,670541,Yordan Alvarez,HOU,CWS,2026-07-24T23:40:00Z,Pre-Game,2,Davis Martin,663436,R,70.8,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.9,42.1,41.1,100.0,80.0,100.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 10.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.58,53.11,94.63,105.1096,0.6694,0.3483,0.4518,76.1,61.95,41.44,37.43,25.6,0.2767,7.56,44.18,90.21,0.4216,0.1524,22.43,In From RF,77,Rate Field,
3,699013,Esmerlyn Valdez,PIT,CHC,2026-07-24T22:40:00Z,Warmup,4,Matthew Boyd,571510,L,69.6,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",86.2,48.3,38.8,94.9,78.0,69.6,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 9.9 HR allowed",EV profile; pitcher fly-ball pressure modest,29.7,56.3,93.4,104.93,0.551,0.331,0.368,75.1,51.9,28.1,45.3,13.0,0.425,9.77,43.11,89.55,0.4281,0.172,24.73,In From LF,79,PNC Park,
4,665742,Juan Soto,NYM,LAD,2026-07-24T23:10:00Z,Pre-Game,2,Roki Sasaki,808963,R,68.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",71.4,60.1,64.3,100.0,80.0,0.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 11.7% barrel, 15.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.47,50.61,92.89,103.0713,0.5947,0.3,0.4234,72.55,31.03,39.46,32.61,27.6,0.2578,11.73,44.98,90.39,0.4405,0.1957,28.77,Out To LF,79,Citi Field,
5,656941,Kyle Schwarber,PHI,NYY,2026-07-24T22:45:00Z,Pre-Game,2,Cam Schlittler,693645,R,68.7,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",79.9,36.2,73.3,100.0,80.0,29.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 8.3% barrel, 10.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.47,54.49,93.53,104.5536,0.5278,0.2875,0.3786,77.16,75.91,54.91,34.37,39.9,0.3062,8.27,39.29,88.23,0.3623,0.1414,27.16,Out To LF,82,Citizens Bank Park,
6,695578,James Wood,WSH,AZ,2026-07-24T22:45:00Z,Pre-Game,1,Eduardo Rodriguez,593958,L,68.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",84.1,46.9,67.7,93.2,50.0,26.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,1,"Last 7 games: 5/29, 1 HR","same-side matchup; pitcher baseline 9.2% barrel, 15.9 HR allowed",EV profile; pitcher fly-ball pressure modest,20.39,58.4,94.93,106.3766,0.5693,0.2967,0.4065,76.63,66.9,30.33,26.48,28.9,0.2624,9.18,36.81,88.55,0.4548,0.1888,27.26,Out To LF,81,Nationals Park,
7,669127,Shea Langeliers,ATH,MIN,2026-07-25T00:10:00Z,Pre-Game,3,Zebby Matthews,805673,R,66.5,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",58.8,57.4,72.1,96.6,50.0,88.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.96,45.18,91.6,102.6092,0.5008,0.2365,0.3539,74.85,49.54,40.51,30.89,25.4,0.2415,11.79,38.87,90.11,0.4554,0.1956,29.27,Out To LF,80,Target Field,
8,660271,Shohei Ohtani,LAD,NYM,2026-07-24T23:10:00Z,Pre-Game,1,Sean Manaea,640455,L,66.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",82.0,43.0,64.3,93.2,50.0,31.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,1,"Last 7 games: 6/29, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 12.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.95,55.13,93.99,104.4206,0.5951,0.3092,0.4138,75.1,53.57,47.54,32.9,31.9,0.2714,8.62,41.13,88.75,0.4122,0.1659,26.09,Out To LF,79,Citi Field,
9,646240,Rafael Devers,SF,LAA,2026-07-25T02:15:00Z,Pre-Game,4,Grayson Rodriguez,680570,R,65.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.6,68.4,55.8,94.9,80.0,18.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,1,"Last 7 games: 3/27, 1 HR","platoon edge; pitcher baseline 10.0% barrel, 5.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.57,51.97,92.66,103.0502,0.4583,0.2245,0.3341,71.81,21.55,33.98,33.04,24.5,0.2263,10.0,55.0,92.3,0.543,0.23,28.3,Out To CF,63,Oracle Park,
10,665953,Andrés Chaparro,WSH,AZ,2026-07-24T22:45:00Z,Pre-Game,3,Eduardo Rodriguez,593958,L,64.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.1,46.9,67.7,96.6,78.0,89.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,17,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 15.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.76,47.11,89.57,101.3256,0.4496,0.2177,0.3448,74.28,43.07,48.24,28.33,3.1,0.1817,9.18,36.81,88.55,0.4548,0.1888,27.26,Out To LF,81,Nationals Park,
